Epoch: 104, Training Error: 0,00489, Validation Error: 0,00557
Epoch: 105, Training Error: 0,00485, Validation Error: 0,00554
Epoch: 106, Training Error: 0,00482, Validation Error: 0,00551
Epoch: 107, Training Error: 0,00479, Validation Error: 0,00548
Epoch: 108, Training Error: 0,00476, Validation Error: 0,00546
Epoch: 109, Training Error: 0,00473, Validation Error: 0,00543
Epoch: 110, Training Error: 0,00470, Validation Error: 0,00540
Epoch: 111, Training Error: 0,00467, Validation Error: 0,00538
Epoch: 112, Training Error: 0,00465, Validation Error: 0,00535
Epoch: 113, Training Error: 0,00462, Validation Error: 0,00533
Epoch: 114, Training Error: 0,00460, Validation Error: 0,00531
Epoch: 115, Training Error: 0,00458, Validation Error: 0,00528
Epoch: 116, Training Error: 0,00455, Validation Error: 0,00526
Epoch: 117, Training Error: 0,00453, Validation Error: 0,00524
Epoch: 118, Training Error: 0,00451, Validation Error: 0,00522
Epoch: 119, Training Error: 0,00449, Validation Error: 0,00520
Epoch: 120, Training Error: 0,00447, Validation Error: 0,00518
Epoch: 121, Training Error: 0,00444, Validation Error: 0,00516
Epoch: 122, Training Error: 0,00442, Validation Error: 0,00514
Epoch: 123, Training Error: 0,00440, Validation Error: 0,00511
Epoch: 124, Training Error: 0,00438, Validation Error: 0,00509
Epoch: 125, Training Error: 0,00436, Validation Error: 0,00507
Epoch: 126, Training Error: 0,00434, Validation Error: 0,00505
Epoch: 127, Training Error: 0,00432, Validation Error: 0,00503
Epoch: 128, Training Error: 0,00430, Validation Error: 0,00501
Epoch: 129, Training Error: 0,00429, Validation Error: 0,00499
Epoch: 130, Training Error: 0,00427, Validation Error: 0,00496
Epoch: 131, Training Error: 0,00425, Validation Error: 0,00494
Epoch: 132, Training Error: 0,00423, Validation Error: 0,00492
Epoch: 133, Training Error: 0,00421, Validation Error: 0,00490
Epoch: 134, Training Error: 0,00419, Validation Error: 0,00488
Epoch: 135, Training Error: 0,00417, Validation Error: 0,00485
Epoch: 136, Training Error: 0,00415, Validation Error: 0,00483
Epoch: 137, Training Error: 0,00413, Validation Error: 0,00481
Epoch: 138, Training Error: 0,00411, Validation Error: 0,00478
Epoch: 139, Training Error: 0,00409, Validation Error: 0,00476
Epoch: 140, Training Error: 0,00407, Validation Error: 0,00474
Epoch: 141, Training Error: 0,00405, Validation Error: 0,00471
Epoch: 142, Training Error: 0,00403, Validation Error: 0,00469
Epoch: 143, Training Error: 0,00401, Validation Error: 0,00466
Epoch: 144, Training Error: 0,00399, Validation Error: 0,00464
Epoch: 145, Training Error: 0,00397, Validation Error: 0,00462
Epoch: 146, Training Error: 0,00395, Validation Error: 0,00459
Epoch: 147, Training Error: 0,00393, Validation Error: 0,00457
Epoch: 148, Training Error: 0,00391, Validation Error: 0,00454
Epoch: 149, Training Error: 0,00389, Validation Error: 0,00452
Epoch: 150, Training Error: 0,00387, Validation Error: 0,00450
Epoch: 151, Training Error: 0,00385, Validation Error: 0,00447
Epoch: 152, Training Error: 0,00383, Validation Error: 0,00445
Epoch: 153, Training Error: 0,00381, Validation Error: 0,00442
Epoch: 154, Training Error: 0,00379, Validation Error: 0,00440
Epoch: 155, Training Error: 0,00377, Validation Error: 0,00438
Epoch: 156, Training Error: 0,00375, Validation Error: 0,00435
Epoch: 157, Training Error: 0,00373, Validation Error: 0,00433
Epoch: 158, Training Error: 0,00371, Validation Error: 0,00431
Epoch: 159, Training Error: 0,00369, Validation Error: 0,00428
Epoch: 160, Training Error: 0,00367, Validation Error: 0,00426
Epoch: 161, Training Error: 0,00366, Validation Error: 0,00424
Epoch: 162, Training Error: 0,00364, Validation Error: 0,00421
Epoch: 163, Training Error: 0,00362, Validation Error: 0,00419
Epoch: 164, Training Error: 0,00360, Validation Error: 0,00417
Epoch: 165, Training Error: 0,00358, Validation Error: 0,00414
Epoch: 166, Training Error: 0,00356, Validation Error: 0,00412
Epoch: 167, Training Error: 0,00354, Validation Error: 0,00410
Epoch: 168, Training Error: 0,00353, Validation Error: 0,00408
Epoch: 169, Training Error: 0,00351, Validation Error: 0,00405
Epoch: 170, Training Error: 0,00349, Validation Error: 0,00403
Epoch: 171, Training Error: 0,00347, Validation Error: 0,00401
Epoch: 172, Training Error: 0,00346, Validation Error: 0,00399
Epoch: 173, Training Error: 0,00344, Validation Error: 0,00397
Epoch: 174, Training Error: 0,00342, Validation Error: 0,00395
Epoch: 175, Training Error: 0,00340, Validation Error: 0,00393
Epoch: 176, Training Error: 0,00339, Validation Error: 0,00391
Epoch: 177, Training Error: 0,00337, Validation Error: 0,00389
Epoch: 178, Training Error: 0,00335, Validation Error: 0,00387
Epoch: 179, Training Error: 0,00334, Validation Error: 0,00385
Epoch: 180, Training Error: 0,00332, Validation Error: 0,00383
Epoch: 181, Training Error: 0,00330, Validation Error: 0,00381
Epoch: 182, Training Error: 0,00329, Validation Error: 0,00379
Epoch: 183, Training Error: 0,00327, Validation Error: 0,00377
Epoch: 184, Training Error: 0,00326, Validation Error: 0,00375
Epoch: 185, Training Error: 0,00324, Validation Error: 0,00373
Epoch: 186, Training Error: 0,00323, Validation Error: 0,00371
Epoch: 187, Training Error: 0,00321, Validation Error: 0,00369
Epoch: 188, Training Error: 0,00320, Validation Error: 0,00368
Epoch: 189, Training Error: 0,00318, Validation Error: 0,00366
Epoch: 190, Training Error: 0,00317, Validation Error: 0,00364
Epoch: 191, Training Error: 0,00315, Validation Error: 0,00362
Epoch: 192, Training Error: 0,00314, Validation Error: 0,00361
Epoch: 193, Training Error: 0,00313, Validation Error: 0,00359
Epoch: 194, Training Error: 0,00311, Validation Error: 0,00357
Epoch: 195, Training Error: 0,00310, Validation Error: 0,00356
Epoch: 196, Training Error: 0,00308, Validation Error: 0,00354
Epoch: 197, Training Error: 0,00307, Validation Error: 0,00353
Epoch: 198, Training Error: 0,00306, Validation Error: 0,00351
Epoch: 199, Training Error: 0,00304, Validation Error: 0,00350
Epoch: 200, Training Error: 0,00303, Validation Error: 0,00348
Epoch: 201, Training Error: 0,00302, Validation Error: 0,00347
Epoch: 202, Training Error: 0,00301, Validation Error: 0,00345
Epoch: 203, Training Error: 0,00299, Validation Error: 0,00344
Epoch: 204, Training Error: 0,00298, Validation Error: 0,00342
Epoch: 205, Training Error: 0,00297, Validation Error: 0,00341
Epoch: 206, Training Error: 0,00296, Validation Error: 0,00339
Epoch: 207, Training Error: 0,00295, Validation Error: 0,00338
Epoch: 208, Training Error: 0,00293, Validation Error: 0,00337
